#OTU ID	Consensus Lineage	F_E.M.N.01	F_E.M.N.02	F_E.M.N.03	F_E.M.N.04	F_E.M.N.05	F_E.M.N.06	F_E.M.N.07	F_E.M.N.08	F_E.M.N.09	F_E.M.N.10	F_E.M.N.11	F_E.M.T.03	F_E.M.T.04	F_E.M.T.05	F_E.M.T.06	F_E.M.T.07	F_E.M.T.08	F_E.M.T.09	F_E.M.T.10	F_E.M.T.11	F_E.M.T.2B	F_E.M.T.5B	F_E.M.T.9A	F_E.S.N.01	F_E.S.N.02	F_E.S.N.04	F_E.S.N.05	F_E.S.N.06	F_E.S.N.07	F_E.S.N.08	F_E.S.N.09	F_E.S.N.10	F_E.S.N.11	F_E.S.T.03	F_E.S.T.04	F_E.S.T.05	F_E.S.T.06	F_E.S.T.07	F_E.S.T.08	F_E.S.T.09	F_E.S.T.10	F_E.S.T.11	F_E.S.T.2B	F_E.S.T.5B	F_E.S.T.9A	F_R.M.N.01	F_R.M.N.02	F_R.M.N.03	F_R.M.N.04	F_R.M.N.05	F_R.M.N.06	F_R.M.N.07	F_R.M.N.08	F_R.M.N.09	F_R.M.N.10	F_R.M.N.11	F_R.M.T.03	F_R.M.T.04	F_R.M.T.05	F_R.M.T.06	F_R.M.T.07	F_R.M.T.08	F_R.M.T.09	F_R.M.T.10	F_R.M.T.11	F_R.M.T.2B	F_R.M.T.5B	F_R.M.T.9A	F_R.S.N.01	F_R.S.N.02	F_R.S.N.03	F_R.S.N.04	F_R.S.N.05	F_R.S.N.06	F_R.S.N.07	F_R.S.N.08	F_R.S.N.09	F_R.S.N.10	F_R.S.N.11	F_R.S.T.03	F_R.S.T.04	F_R.S.T.05	F_R.S.T.06	F_R.S.T.07	F_R.S.T.08	F_R.S.T.09	F_R.S.T.10	F_R.S.T.11	F_R.S.T.2B	F_R.S.T.5B	F_R.S.T.9A
33	Root;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Phlyctochytrium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	Root;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	Root;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Capronia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	Root;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massarinaceae;Byssothecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	Root;Fungi;Fungi incertae sedis;Fungi incertae sedis;Zoopagales;Piptocephalidaceae;Kuzuhaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	Root;Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaetidium	0	0	11	0	8	0	0	65	71	0	0	0	0	1	0	0	0	0	0	0	0	0	0	18	0	0	5	0	6	0	0	0	93	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
39	Root;Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Kappamycetaceae;Kappamyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	Root;Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber	0	0	0	0	0	0	0	0	4	0	0	2	0	14	0	0	0	11	152	351	0	83	0	7	0	0	61	0	3	0	0	0	0	0	0	0	0	13	0	21	49	0	0	17	0	9	0	0	0	5	0	8	0	2	0	0	20	0	0	0	4	0	42	108	30	0	23	12	65	0	0	1	4	0	6	4	1	0	0	0	0	0	2	0	0	3	23	18	0	20	48
41	Root;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Crinula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	Root;Fungi;Basidiomycota;Microbotryomycetes;Microbotryomycetes incertae sedis;Microbotryomycetes incertae sedis;Kriegeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
